day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
2,3,3,2011,0,0,0,0
3,3,4,2011,0.009598487,-0.005770564,0.005246157,0
4,3,5,2011,0.011919074,0.011813566,0.012987303,1
7,3,1,2011,-0.015328324,-0.014518398,-0.013328623,0
8,3,2,2011,-0.0036123,0.015269479,0.002946398,1
9,3,3,2011,0.022235264,0.002297651,0.012814506,0
10,3,4,2011,-0.004113402,-0.0090466,-0.004927302,0
11,3,5,2011,-0.010398955,-0.007757256,-0.012213211,0
14,3,1,2011,-0.01435756,0.004787821,-0.002360781,1
15,3,2,2011,0.000448897,-0.01354843,-0.006889425,0
16,3,3,2011,0.000478608,0.005698598,0.00879971,1
17,3,4,2011,-0.005620959,-0.012704924,-0.009694659,0
18,3,5,2011,-0.002961671,-0.004244634,-0.013299318,0
21,3,1,2011,-0.007999156,-0.0121878,-0.007137065,0
22,3,2,2011,-0.007318853,-0.002590713,0.002550215,1
23,3,3,2011,-0.000803889,0.005674764,-0.00013833,1
24,3,4,2011,0.012320895,0.010361438,0.015172244,1
25,3,5,2011,0.022109024,0.043577019,0.019510902,1
28,3,1,2011,0.02209732,-0.003124798,0.018469148,0
29,3,2,2011,0.000405729,0.012603225,0.00662807,1
30,3,3,2011,0.012927382,0.005073902,0.012118534,1
31,3,4,2011,0.004039639,0.018486788,0.005031275,1
1,4,5,2011,0.016428231,-0.002426189,0.008979627,0
4,4,1,2011,-0.000917778,0.014836444,0.00645776,1
5,4,2,2011,0.018968479,0.005871164,0.008148382,1
6,4,3,2011,0.00553988,0.002839939,0.007505199,0
7,4,4,2011,-0.007665195,-0.012954567,-0.007180039,0
8,4,5,2011,-0.006089865,-0.000103452,-0.007482303,0
11,4,1,2011,-0.013614411,-0.005724928,-0.005226652,0
12,4,2,2011,0,0,0,0
13,4,3,2011,-0.000182905,0.016822754,-0.001366351,1
14,4,4,2011,0,0,0,0
15,4,5,2011,0.026976443,-0.004161692,-0.037442697,0
18,4,1,2011,-0.073103221,-0.061083136,-0.027219906,0
19,4,2,2011,-0.016867719,-0.021780531,-0.002892307,1
20,4,3,2011,0.014360254,0.018259936,0.019141575,1
21,4,4,2011,0.016899404,0.010804911,0.002497851,0
22,4,5,2011,0,0,0,0
25,4,1,2011,-0.011858946,-0.006203483,0.00158222,1
26,4,2,2011,0.007007502,-0.000422953,0.000339566,0
27,4,3,2011,-0.001179323,-0.003122424,0.002494226,0
28,4,4,2011,-0.001488728,-0.002458926,-0.010886928,0
29,4,5,2011,-0.012478425,-0.009295058,-0.005648498,0
2,5,1,2011,0.002640269,0.003006472,0.002477304,0
3,5,2,2011,-0.004346826,-0.00253972,-0.011527205,0
4,5,3,2011,-0.010422798,-0.016861085,-0.015574018,0
5,5,4,2011,-0.009561381,-0.008680529,-0.004917982,0
6,5,5,2011,-0.00716805,0.011384263,0.007062615,1
9,5,1,2011,0.017532711,-0.000337909,0.003705604,0
10,5,2,2011,-0.004318939,0.004529509,0.002128195,0
11,5,3,2011,-0.002221735,-0.001413295,0.005016137,1
12,5,4,2011,0.002461469,-0.004919837,-0.006369523,0
13,5,5,2011,-0.007373829,0.003604648,0.000876564,1
16,5,1,2011,0.004848383,-0.007835757,-0.001073803,0
17,5,2,2011,-0.008074473,0.000959809,-0.002622591,0
18,5,3,2011,0.003841014,0.002703009,-0.002117348,1
19,5,4,2011,0.00723425,-0.0029668,0.00806606,1
20,5,5,2011,-0.001631309,0.002507382,-0.00050152,1
23,5,1,2011,-0.003479761,-0.006207577,-0.006477413,0
24,5,2,2011,-0.005169547,-0.001258367,0.000451478,0
25,5,3,2011,-0.002220493,-0.007514174,-0.020536786,0
26,5,4,2011,-0.009085278,-0.00752518,0.001272881,0
27,5,5,2011,-0.005201701,0.004361328,0.005303426,1
30,5,1,2011,0.014515241,0.003582854,0.005624559,1
31,5,2,2011,-0.000772348,0.009769895,0.006773437,1
1,6,3,2011,0.001737214,0.002324208,0.003019111,1
2,6,4,2011,-0.001382777,-0.004040938,-0.002261337,0
3,6,5,2011,0.00594423,0.006089792,0.003905054,0
6,6,1,2011,-0.003840538,-0.00128898,-0.005430554,1
7,6,2,2011,0.006550268,0.013072487,0.011096796,1
8,6,3,2011,0.013933027,-0.001393193,0.009094012,0
9,6,4,2011,-0.001967355,-0.002909644,-0.001525811,0
10,6,5,2011,-0.000944393,0.001107395,-0.001227031,0
13,6,1,2011,-0.005011516,-0.004170559,-0.006180377,0
14,6,2,2011,0.003837889,0.003062212,0.00954815,1
15,6,3,2011,-0.000961437,-0.004167758,-0.011103015,0
16,6,4,2011,-0.010232621,-0.01084245,-0.016400915,0
