Date,Close,Open,High,Low
09-Apr-12,6466.65,6504.1,6535.85,6456.9
10-Apr-12,6396.25,6492.45,6514.8,6351.2
11-Apr-12,6413.8,6377.2,6460.05,6346.55
12-Apr-12,6343.85,6436.5,6453.1,6336.85
13-Apr-12,5782.85,5975.65,6015.1,5760.1
16-Apr-12,5751.1,5772.15,5801.35,5694.95
17-Apr-12,5801.7,5813.95,5815.7,5738.75
18-Apr-12,5815,5855.9,5867.5,5807.3
19-Apr-12,5861.75,5833.45,5875.6,5817.5
20-Apr-12,5849.45,5833.85,5899.4,5774.5
23-Apr-12,5680.15,5831.4,5833.65,5653.5
24-Apr-12,5928.4,5760.2,5951.15,5681.6
25-Apr-12,5850.7,5896.85,5896.85,5815.9
26-Apr-12,5871.9,5851.6,5903.2,5833.1
27-Apr-12,5940.35,5866.7,5947.45,5866.7
30-Apr-12,6085.4,5938.9,6096,5938.9
01-May-12,6085.4,5938.9,6096,5938.9
02-May-12,6124.9,6085.25,6148.95,6085.25
03-May-12,6161.1,6101.55,6180.7,6101.55
04-May-12,6100.35,6160.6,6201.9,6068.05
07-May-12,6089.2,6023.1,6101.1,5957.3
08-May-12,5901.45,5965.95,5965.95,5855.05
09-May-12,5898.8,5856.65,5946.7,5856.65
10-May-12,5890,5903.4,5934.35,5854.3
11-May-12,5830.8,5870.75,5898.6,5816.35
14-May-12,5855.85,5831.55,5877.05,5802.3
15-May-12,5956.3,5801.85,5973.65,5801.85
16-May-12,5870.25,5894.2,5927.75,5845.5
17-May-12,5869.1,5870.7,5896.65,5811.45
18-May-12,5865.45,5778,5904.6,5763.7
21-May-12,5796.55,5865.2,5875.3,5773.5
22-May-12,5822.45,5833.3,5859.5,5789.1
23-May-12,5832.15,5854.5,5865.3,5766.8
24-May-12,5886.1,5836,5895.6,5781.5
25-May-12,5879.85,5853.8,5895.05,5832.75
28-May-12,5916.3,5910.5,5934.95,5868.9
29-May-12,5983.25,5927.9,6005.85,5904.9
30-May-12,6012.35,5961.8,6059.55,5954.3
31-May-12,6008.8,5946.3,6138.95,5929.6
01-Jun-12,5902.75,5977.65,5995.75,5895
04-Jun-12,5884,5855.35,5899.2,5802.85
05-Jun-12,5904.9,5884.1,5944.4,5883.65
06-Jun-12,5999.25,5922.15,6035.9,5922.15
07-Jun-12,6021.8,6034.8,6054.35,6001.4
08-Jun-12,5975.5,6052.95,6052.95,5930.05
11-Jun-12,5965.45,5990.9,6027.75,5949.15
12-Jun-12,6017.95,5912.35,6033.2,5912.35
13-Jun-12,6040.8,6013,6079.55,6003.85
14-Jun-12,6065.25,6030.35,6098.9,6028.6
15-Jun-12,6134.45,6083.9,6142.3,6079.4
18-Jun-12,6082,6155.2,6185.6,6053.45
19-Jun-12,6069.15,6065.8,6087.3,6027.05
20-Jun-12,6051.45,6072.3,6084.1,6039
21-Jun-12,6043.35,6018.1,6056.65,5976.35
22-Jun-12,6028.55,5966.2,6044.45,5966.2
25-Jun-12,5997.05,6033,6058.9,5985.25
26-Jun-12,5988.6,5976.65,6003.4,5965.2
27-Jun-12,6042.4,6008.1,6060.6,6006.45
28-Jun-12,6055.65,6037.15,6079.15,6021.9
29-Jun-12,6144.6,6093.9,6167.1,6083.25
02-Jul-12,6120.9,6141.7,6159.55,6114.75
03-Jul-12,6087.5,6152.5,6152.5,6064.7
04-Jul-12,6074.75,6103.2,6111.05,6035.95
05-Jul-12,6077.35,6075.5,6084.35,6046.25
06-Jul-12,6027.25,6069.35,6071.65,5993.6
09-Jul-12,6018.2,5987.65,6073.7,5973
10-Jul-12,6056.5,6037.15,6067.15,6027.55
11-Jul-12,6049.35,6034.55,6110.55,6021.7
12-Jul-12,5737.65,5720.3,5765.05,5678.1
13-Jul-12,5713.9,5736.3,5778.1,5698.75
16-Jul-12,5576.75,5713.4,5740.05,5562.6
17-Jul-12,5555.35,5609.7,5615.4,5531.25
18-Jul-12,5582.25,5569.8,5599.7,5550.45
19-Jul-12,5682.25,5624.05,5693.6,5624.05
20-Jul-12,5674.2,5681.8,5691.8,5642.4
23-Jul-12,5609.2,5624.75,5651.7,5601.5
24-Jul-12,5571.3,5598.6,5627.05,5560.55
25-Jul-12,5588.65,5586.8,5601.75,5543.45
26-Jul-12,5489.6,5587.35,5587.35,5460.7
27-Jul-12,5562,5562.4,5577.8,5497.95
30-Jul-12,5646.3,5589.15,5660.05,5569.15
31-Jul-12,5695.25,5664.7,5705.85,5620.9
01-Aug-12,5670.7,5673.8,5698.1,5647.7
02-Aug-12,5670.4,5673.95,5690,5654.35
03-Aug-12,5697.15,5645.9,5705.3,5633.35
06-Aug-12,5699.1,5729.7,5742.2,5684.05
07-Aug-12,5799.8,5733.95,5818.7,5733.95
08-Aug-12,5828.3,5813.4,5854.5,5808.15
09-Aug-12,5827.6,5838.1,5886.05,5813.5
10-Aug-12,5905.15,5815.3,5921.9,5815.3
13-Aug-12,5912.35,5885.65,5919.3,5877.55
14-Aug-12,5936.35,5890.35,5943.1,5876.25
15-Aug-12,5936.35,5890.35,5943.1,5876.25
16-Aug-12,5915.9,5935.1,5935.1,5887.8
17-Aug-12,5980.65,5928.2,5995.1,5921.05
20-Aug-12,5980.65,5928.2,5995.1,5921.05
21-Aug-12,6085.3,5994.1,6131.8,5994.1
22-Aug-12,6099.1,6070.2,6115.65,6064.95
23-Aug-12,6207.6,6101.65,6213.55,6100.1
24-Aug-12,6170.7,6167.15,6181.25,6145.1
27-Aug-12,6112.95,6144.85,6175.8,6105.2
28-Aug-12,6159.9,6103.15,6183.05,6103.15
29-Aug-12,6099.15,6161.2,6161.8,6090.2
30-Aug-12,6144.55,6086.8,6181.15,6058
31-Aug-12,6072.35,6120.9,6120.9,6061.8
03-Sep-12,6083.2,6084.2,6142.2,6068.8
04-Sep-12,6084.05,6066.5,6099.55,6037.35
05-Sep-12,6083.75,6062.5,6110.1,6031.95
